status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000001,10748,Victor Caratini,MIN,V0jhMrMV,Victor Caratini,MIN,Existing registry mapping
MATCHED,0000017,12449,Vinnie Pasquantino,KC,4Lb9O8WT,Vinnie Pasquantino,KC,Existing registry mapping
MATCHED,0000002,12544,Casey Schmitt,SF,WppZGENo,Casey Schmitt,SF,Existing registry mapping
MATCHED,0000021,64325,Tommy White,ATH,klTUBCUs,Tommy White,ATH,Existing registry mapping
MATCHED,0000009,11692,Jake Cronenworth,SD,GjjkmiAY,Jake Cronenworth,SD,Existing registry mapping
MATCHED,0000008,12212,Lars Nootbaar,STL,IjXjMnF3,Lars Nootbaar,STL,Existing registry mapping
MATCHED,0000011,63023,Luke Keaschall,MIN,zrHiZtWK,Luke Keaschall,MIN,Existing registry mapping
MATCHED,0000015,11555,Griffin Conine,MIA,krxHbJBd,Griffin Conine,MIA,Existing registry mapping
MATCHED,0000010,9319,Xander Bogaerts,SD,ceInqkcv,Xander Bogaerts,SD,Existing registry mapping
MATCHED,0000012,9590,Byron Buxton,MIN,06qgBlrt,Byron Buxton,MIN,Existing registry mapping
MATCHED,0000006,9861,Kyle Schwarber,PHI,vKKRN46q,Kyle Schwarber,PHI,Existing registry mapping
MATCHED,0000013,10496,Taylor Ward,BAL,iEhzOhTr,Taylor Ward,BAL,Existing registry mapping
MATCHED,0000007,63129,A.J. Ewing,NYM,ilQLBBNR,A.J. Ewing,NYM,Existing registry mapping
MATCHED,0000005,63000,Cooper Pratt,MIL,hAqY5jyU,Cooper Pratt,MIL,Existing registry mapping
MATCHED,0000004,62504,Chase Meidroth,CWS,ZjbWT92j,Chase Meidroth,CWS,Existing registry mapping
MATCHED,0000003,11356,Anthony Seigler,BOS,pWEmjUmX,Anthony Seigler,BOS,Existing registry mapping
MATCHED,0000016,62315,Blake Dunn,CIN,0PKeW6i2,Blake Dunn,CIN,Existing registry mapping
MATCHED,0000018,9571,Trevor Story,BOS,o-m_ixwv,Trevor Story,BOS,Existing registry mapping
SUGGESTED_MATCH,,60285,Jacob Reimer,NYM,3HBW0kdF,Jacob Reimer,NYM,Name/team match. Awaiting registry approval
MATCHED,0000019,64923,Demetrio Crisantes,AZ,VWvGmGkT,Demetrio Crisantes,AZ,Existing registry mapping
MATCHED,0000020,61818,Agustin Ramirez,MIA,nTSeibty,Agustin Ramirez,MIA,Existing registry mapping
MATCHED,0000022,65447,Josh Adamczewski,MIL,0uK5g2KK,Josh Adamczewski,MIL,Existing registry mapping
MATCHED,0000023,63634,Abimelec Ortiz,WSH,9_YGxX_J,Abimelec Ortiz,WSH,Existing registry mapping
MATCHED,0000024,60043,Jaison Chourio,CLE,F5JAcLw3,Jaison Chourio,CLE,Existing registry mapping
MATCHED,0000946,12385,James Triantos,CHC,U5iqgBwB,James Triantos,CHC,Existing registry mapping
MATCHED,0000034,11327,Jose Soriano,LAA,4Suqr8al,José Soriano,LAA,Existing registry mapping
MATCHED,0000026,9329,Michael Wacha,KC,qQcZQjd5,Michael Wacha,KC,Existing registry mapping
MATCHED,0000025,11121,Jeffrey Springs,ATH,pz7nU_5Y,Jeffrey Springs,ATH,Existing registry mapping
MATCHED,0000040,12500,Randy Vasquez,SD,prVPxdt1,Randy Vasquez,SD,Existing registry mapping
MATCHED,0000029,64374,Gage Jump,ATH,2ygim6MR,Gage Jump,ATH,Existing registry mapping
MATCHED,0000030,61749,Chad Patrick,MIL,KbjYvp77,Chad Patrick,MIL,Existing registry mapping
MATCHED,0000032,12203,Griffin Jax,TB,lsnGXahT,Griffin Jax,TB,Existing registry mapping
MATCHED,0000033,60412,Mason Montgomery,PIT,WlQuOp3l,Mason Montgomery,PIT,Existing registry mapping
MATCHED,0000947,63500,Justin Slaten,BOS,FWs4EQh2,Justin Slaten,BOS,Existing registry mapping
SUGGESTED_MATCH,,11648,Cole Sulser,TB,6yYzCYRD,Cole Sulser,TB,Name/team match. Awaiting registry approval
MATCHED,0000028,62935,Nolan McLean,NYM,yKLbMSDw,Nolan McLean,NYM,Existing registry mapping
MATCHED,0000037,12591,Andre Pallante,STL,YkFr84re,Andre Pallante,STL,Existing registry mapping
MATCHED,0000038,11235,Logan Webb,SF,lqpcpJUj,Logan Webb,SF,Existing registry mapping
MATCHED,0000036,10549,Grant Holmes,ATL,6fjx01-Q,Grant Holmes,ATL,Existing registry mapping
MATCHED,0000027,10592,Jack Flaherty,DET,RAqlhceM,Jack Flaherty,DET,Existing registry mapping
MATCHED,0000035,60389,Trevor McDonald,SF,KtzU6LuS,Trevor McDonald,SF,Existing registry mapping
MATCHED,0000039,11116,Zac Gallen,AZ,dbYCSQUc,Zac Gallen,AZ,Existing registry mapping
MATCHED,0000041,9823,Carlos Rodon,NYY,Ej8Q67El,Carlos Rodón,NYY,Existing registry mapping
MATCHED,0000042,12356,Ryne Nelson,AZ,GA0rkwXI,Ryne Nelson,AZ,Existing registry mapping
MATCHED,0000043,60121,Daniel Palencia,CHC,PSsS003Y,Daniel Palencia,CHC,Existing registry mapping
MATCHED,0000044,11202,Justin Steele,CHC,t8Epx1p0,Justin Steele,CHC,Existing registry mapping
MATCHED,0000045,63187,Jack Wenninger,NYM,mL8Bjej5,Jack Wenninger,NYM,Existing registry mapping
MATCHED,0000046,64481,Khal Stephen,CLE,XKox7OBw,Khal Stephen,CLE,Existing registry mapping
SUGGESTED_MATCH,,62763,Alex Clemmey,WSH,X_UZUjGM,Alex Clemmey,WSH,Name/team match. Awaiting registry approval
MATCHED,0000058,12435,Yainer Diaz,HOU,No8RF5xb,Yainer Diaz,HOU,Existing registry mapping
MATCHED,0000050,8875,Bryce Harper,PHI,eFO_k2w_,Bryce Harper,PHI,Existing registry mapping
MATCHED,0000051,12688,Spencer Steer,CIN,RBcdCb5U,Spencer Steer,CIN,Existing registry mapping
